id;name;description;serviceUrl;inputParams;outputField;destination
6c87e142-65ea-473b-8160-ab4816dcc635;GetTaxRate;Get percentage of tax in SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/HelpCalcoloPercSet?$filter=Stceg eq '{piva}' and TaxAmount eq {taxAmount} and GrossAmount eq {grossAmount};{\"piva\":\"Tax id of vendor\",\"taxAmount\":\"Tax amount\",\"grossAmount\":\"Gross amount\"};Mwskz;SAP-1C
842fa3fc-3d74-4f72-b37d-2f088fac426b;GetWITaxType;Get code to witholding tax type from SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/WithHoldingTaxSet?$filter=CompanyCode eq '{compCode}' and VendorNo eq '{vendorNumber}' and TaxTypeStr eq '{taxTypeString}';{\"compCode\":\"Company Code\",\"vendorNumber\":\"Vendor code in SAP\",\"taxTypeString\":\"Strings of tax type separated by comma\"};Witht;SAP-1C
860349d0-b517-42f6-b603-adb81970e8f2;GetTaxRateFromTaxCode;Get percentage of tax from SAP tax code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/TaxPercSet?$filter=TaxCode eq '{taxCode}' and Country eq '{Country}';{\"taxCode\":\"SAP Tax Code\",\"Country\":\"2 digit for country\"};TaxRate;SAP-1C
a3622775-2ea3-4ac6-ac6a-020e6979e76c;GetTaxCode;Get SAP Tax Code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetTaxCodeSet?$filter=Country eq '{Country}' and TaxRate eq '{taxRate}' and Ebeln eq '{PONumber}' and Ebelp eq '{POItem}';{\"Country\":\"2 digit for country\",\"taxRate\":\"percentage of tax rate\",\"PONumber\":\"Number of Purchase Order\",\"POItem\":\"position of purchase order\"};TaxCode;SAP-1C
b4337d85-f2ac-4ed4-a944-8d81cb8e22ef;GetDocumentType;Get document type code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetDocumentTypeSet?$filter=Invoice eq '{Invoice}' and Bukrs eq '{Bukrs}' and VendorTaxID eq '{VendorTaxID}';{\"Invoice\":\"X if is invoice blank if is credit note\",\"Bukrs\":\"company code\",\"VendorTaxID\":\"Tax ID of vendor\"};DocumentType;SAP-1C
b5d20b9a-b7d8-4b3c-91b4-0069f6396836;GetCompanyCodeFromPIVA;Get company code from receiver tax id;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/HelpCompanyCodeSet?$filter=PartitaIva eq '{piva}';{\"piva\":\"receiver tax id\"};CompanyCode;SAP-1C
cefcb92e-0b08-4eea-a3ab-cf9285159770;GetPmtTermsFromVendor;Get Payment terms from Vendor code and company code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetPaymentTermsSet?$filter=Bukrs eq '{compCode}' and Lifnr eq '{vendor}';{\"compCode\":\"company code\",\"vendor\":\"Id of vendor\"};Zterm;SAP-1C
d1994f36-5fa6-48d4-ba64-0d445aa3a94e;GetPOItem;Get info of all Purchase Order positions in SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetPoItemFromPoSet?$filter=Ebeln eq '{PONumber}';{\"PONumber\":\"Purchae order number\"};;SAP-1C
d5f95d0e-53f7-49cb-ad25-2d2f8e9c4f2c;SearchHelpBankAccount;;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/BankDataSet?$filter=Lifnr eq '{vendorCode}';{\"vendorCode\":\"Vendor Code\"};{\"Bvtyp\":\"Partner bank\",\"Iban\":\"Iban\",\"Swift\":\"Swift\",\"Bankn\":\"Account Number\",\"Bankl\":\"Bank keys\",\"Banks\":\"Country\"};SAP-1C
debb6828-6e08-4e8b-bea6-b774d5a58b7d;GetUnitOfMeasure;Get unit of measure from purchase order;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetUOSet?$filter=RefDoc eq '{purchaseOrder}' and PoItem eq '{POItem}';{\"purchaseOrder\":\"purchase order number\",\"POItem\":\"purchase order number of position\"};PoUnit;SAP-1C
df9a4fea-a350-484a-8f75-cc4cc9024c71;GetExchangeRate;Get exchange rate from SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/ExchangeRateSet?$filter=RateType eq '{rateType}' and FromCurr eq '{fromCurrency}' and ToCurr eq '{toCurrency}' and Date eq datetime'{dateTime}';{\"rateType\":\"type of rate\",\"fromCurrency\":\"from currency\",\"toCurrency\":\"to currency\",\"dateTime\":\"date time now\"};ExchRate;SAP-1C
e20b4a46-997f-4225-840f-8c448691706d;GetBaseline;Get baseline code from SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/BaselineDtSet?$filter=Zterm eq '{paymentTerms}';{\"paymentTerms\":\"code of payment terms\"};Zdart;SAP-1C
e24cd037-c9f3-4565-b060-d5b60af48b6a;GetWITaxCode;Get code to witholding tax from SAP;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/WithHoldingTaxSet?$filter=CompanyCode eq '{compCode}' and VendorNo eq '{vendorNumber}' and TaxTypeStr eq '{taxTypeString}';{\"compCode\":\"Company Code\",\"vendorNumber\":\"Vendor code in SAP\",\"taxTypeString\":\"Strings of tax type separated by comma\"};WtWithcd;SAP-1C
